district,villages,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,census2011_population
CHUMOUKEDIMA,1,12.85,12.85,0.0,100.0,100.0,211.8,211.8,0.0,0.0,0.0,645.7,645.7,0.0,0.0,0.0,219.45,219.45,0.0,0.0,0.0,171.2,171.2,0.0,0.0,0.0,
DIMAPUR,1,1.28,1.28,100.0,100.0,100.0,204.51,204.51,0.0,0.0,0.0,650.6,650.6,0.0,0.0,0.0,212.83,212.83,0.0,0.0,0.0,175.4,175.4,0.0,0.0,0.0,378811.0
KIPHIRE,1,103.21,103.21,0.0,0.0,0.0,312.75,312.75,0.0,0.0,0.0,739.31,739.31,0.0,0.0,0.0,321.22,321.22,0.0,0.0,0.0,178.04,178.04,0.0,0.0,0.0,74004.0
KOHIMA,1,41.02,41.02,0.0,0.0,100.0,242.86,242.86,0.0,0.0,0.0,670.05,670.05,0.0,0.0,0.0,250.59,250.59,0.0,0.0,0.0,160.28,160.28,0.0,0.0,0.0,267988.0
LONGLENG,1,34.37,34.37,0.0,0.0,100.0,309.15,309.15,0.0,0.0,0.0,778.13,778.13,0.0,0.0,0.0,319.65,319.65,0.0,0.0,0.0,257.68,257.68,0.0,0.0,0.0,50484.0
MOKOKCHUNG,1,27.69,27.69,0.0,0.0,100.0,278.85,278.85,0.0,0.0,0.0,747.16,747.16,0.0,0.0,0.0,289.17,289.17,0.0,0.0,0.0,235.7,235.7,0.0,0.0,0.0,194622.0
MON,1,36.53,36.53,0.0,0.0,100.0,329.44,329.44,0.0,0.0,0.0,799.05,799.05,0.0,0.0,0.0,340.05,340.05,0.0,0.0,0.0,270.55,270.55,0.0,0.0,0.0,250260.0
NIULAND,1,23.08,23.08,0.0,100.0,100.0,228.16,228.16,0.0,0.0,0.0,670.55,670.55,0.0,0.0,0.0,236.58,236.58,0.0,0.0,0.0,181.79,181.79,0.0,0.0,0.0,
NOKLAK,1,88.7,88.7,0.0,0.0,0.0,326.19,326.19,0.0,0.0,0.0,768.1,768.1,0.0,0.0,0.0,335.5,335.5,0.0,0.0,0.0,212.43,212.43,0.0,0.0,0.0,
PEREN,1,37.85,37.85,0.0,0.0,100.0,203.97,203.97,0.0,0.0,0.0,613.24,613.24,0.0,0.0,0.0,209.87,209.87,0.0,0.0,0.0,140.8,140.8,0.0,0.0,0.0,95219.0
PHEK,1,69.66,69.66,0.0,0.0,0.0,271.66,271.66,0.0,0.0,0.0,690.9,690.9,0.0,0.0,0.0,279.34,279.34,0.0,0.0,0.0,151.82,151.82,0.0,0.0,0.0,163418.0
SHAMATOR,1,79.03,79.03,0.0,0.0,0.0,305.56,305.56,0.0,0.0,0.0,748.12,748.12,0.0,0.0,0.0,314.76,314.76,0.0,0.0,0.0,202.96,202.96,0.0,0.0,0.0,
TSEMINYU,1,36.24,36.24,0.0,0.0,100.0,245.05,245.05,0.0,0.0,0.0,687.66,687.66,0.0,0.0,0.0,253.7,253.7,0.0,0.0,0.0,183.65,183.65,0.0,0.0,0.0,
TUENSANG,1,58.42,58.42,0.0,0.0,0.0,304.57,304.57,0.0,0.0,0.0,760.1,760.1,0.0,0.0,0.0,314.39,314.39,0.0,0.0,0.0,227.22,227.22,0.0,0.0,0.0,196596.0
WOKHA,1,28.31,28.31,0.0,0.0,100.0,248.48,248.48,0.0,0.0,0.0,710.36,710.36,0.0,0.0,0.0,258.25,258.25,0.0,0.0,0.0,209.22,209.22,0.0,0.0,0.0,166343.0
ZUNHEBOTO,1,66.17,66.17,0.0,0.0,0.0,277.96,277.96,0.0,0.0,0.0,719.98,719.98,0.0,0.0,0.0,286.91,286.91,0.0,0.0,0.0,190.69,190.69,0.0,0.0,0.0,140757.0
__STATE__,16,,38.3511621974605,6.25,18.75,62.5,,263.92341447216126,0.0,0.0,0.0,,710.4540143906854,0.0,0.0,0.0,,272.85758264586036,0.0,0.0,0.0,,198.98485702314173,0.0,0.0,0.0,1978502.0
